ID,Name,Meals,Category,Prep,Icon,Description
rigatoni,"Rigatoni: al Ragu (minced meat, tomato sauce)",lunch,pasta,baked,rigatoni,
mushroom-fusilli,Fusilli: Mushrooms,lunch,pasta,stir-fried,mushroom-fusilli,
cheese-pepper-pasta,Penne: Cheese and Pepper,lunch,pasta,tossed,cheese-pepper-pasta,
pistachio-pesto-chicken,Fusilli: Pistachio Pesto with Chicken,lunch,pasta,tossed,pistachio-pesto-chicken,
cheesy-rigatoni,Rigatoni: Baked with Cheese,lunch,pasta,baked,cheesy-rigatoni,
chicken-pasta-broccoli,Penne: Chicken and Broccoli,lunch,pasta,tossed,chicken-pasta-broccoli,
aglio-olio,Spaghetti: Aglio e Olio with Prawns,lunch,pasta,tossed,aglio-olio,
carbonara,Spaghetti: Carbonara,lunch,pasta,tossed,carbonara,
chicken-rice,Hainanese Chicken Rice,lunch,rice,steamed,chicken-rice,
soy-chicken-chye-sim,Soy Chicken and Chye Sim Rice,lunch,rice,braised,soy-chicken-chye-sim,
chicken-mushroom-rice,Chicken and Mushroom One-Pot Rice,lunch,rice,steamed,chicken-mushroom-rice,
porridge,Porridge with Spring Rolls,lunch,rice,boiled,porridge,
fried-rice,Fried Rice,lunch,rice,fried,fried-rice,
claypot-rice,Claypot Chicken Rice,lunch,rice,claypot,claypot-rice,
nasi-lemak,Nasi Lemak,lunch,rice,steamed,nasi-lemak,
crispy-noodle,Chinese Crispy Noodles,lunch,noodles,dry,crispy-noodle,
bee-hoon,Fried Bee Hoon,lunch,noodles,dry,bee-hoon,
mee-sua-soup,Mee Sua Soup,lunch,noodles,soup,mee-sua-soup,
kway-teow-soup,Kway Teow Soup,lunch,noodles,soup,kway-teow-soup,
hokkien-mee,Hokkien Mee,lunch,noodles,dry,hokkien-mee,
wanton-noodles,Wanton Noodles,lunch,noodles,dry,wanton-noodles,
ban-mian,Ban Mian,lunch,noodles,soup,ban-mian,
rice,Rice,dinner,rice,steamed,rice,
kai-lan,Stir-fried Kai Lan,dinner,vegetables,stir-fried,kai-lan,
baby-spinach,Stir-fried Baby Spinach,dinner,vegetables,stir-fried,baby-spinach,
red-spinach,Stir-fried Red Spinach,dinner,vegetables,stir-fried,red-spinach,
kang-kong,Stir-fried Kang Kong,dinner,vegetables,stir-fried,kang-kong,
wawa-vegetable,Stir-fried WaWa Vegetable,dinner,vegetables,stir-fried,wawa-vegetable,
broccoli,Stir-fried Broccoli,dinner,vegetables,stir-fried,broccoli,
chye-sim,Blanched Chye Sim with Oyster Sauce,dinner,vegetables,blanched,chye-sim,
nai-bai,Stir-fried Nai Bai,dinner,vegetables,stir-fried,nai-bai,
sweet-potato-leaves,Sweet Potato Leaves with Sambal Belacan,dinner,vegetables,stir-fried,sweet-potato-leaves,
okra-sambal,Lady's Fingers with Sambal,dinner,vegetables,stir-fried,okra-sambal,
beansprouts-chives,Stir-fried Beansprouts with Chives,dinner,vegetables,stir-fried,beansprouts-chives,
french-beans,Stir-fried French Beans,dinner,vegetables,stir-fried,french-beans,
cabbage-mushroom,Braised Chinese Cabbage with Mushrooms,dinner,vegetables,braised,cabbage-mushroom,
asparagus-garlic,Stir-fried Asparagus with Garlic,dinner,vegetables,stir-fried,asparagus-garlic,
steam-fish-ginger-spring-onion,Steamed Red Snapper with Ginger and Spring Onion,dinner,fish,steamed,steam-fish-ginger-spring-onion,
steam-fish-pomfret,Steamed Pomfret with Sour Plums,dinner,fish,steamed,steam-fish-pomfret,
fried-seabass,Pan-Fried Seabass,dinner,fish,fried,fried-seabass,
fried-salmon,Pan-Fried Salmon,dinner,fish,fried,fried-salmon,
claypot-fish-eggplant,Claypot Sliced Fresh Fish with Eggplants,dinner,fish,claypot,claypot-fish-eggplant,
sweet-sour-fish,Sweet and Sour Fish,dinner,fish,fried,sweet-sour-fish,
